agent,architecture,model_key,site,n_runs,strict_field_f1_mean,strict_field_f1_std,record_f1_mean,record_f1_std,record_recall_mean,record_recall_std,record_completeness_mean,record_completeness_std,schema_adherence_mean,schema_adherence_std,task_success_mean,task_success_std,selector_pair_coverage_mean,selector_pair_coverage_std,quote_coverage_mean,quote_coverage_std,verified_provenance_precision_mean,verified_provenance_precision_std,verified_provenance_recall_mean,verified_provenance_recall_std,latency_seconds_mean,latency_seconds_std,input_tokens_mean,input_tokens_std,output_tokens_mean,output_tokens_std,tool_actions_mean,tool_actions_std,browser_actions_mean,browser_actions_std
A2__kimi,A2,kimi,site_01,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,251.79933333333335,12.174354534567058,39688,0.0,9455.333333333334,23.09401076758503,23,0.0,0,0.0
A2__kimi,A2,kimi,site_02,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,287.379,30.661499425174892,39255,0.0,9474.666666666666,2.309401076758503,22,0.0,0,0.0
A2__kimi,A2,kimi,site_03,3,0.4095238095238095,0.11547005383792514,0.4,0.1,0.4,0.1,0.4,0.1,1,0.0,0,0.0,1.0,0.0,1.0,0.0,0.4095238095238095,0.11547005383792514,0.4095238095238095,0.11547005383792514,215.49633333333333,6.450269012477955,18780.333333333332,89.36628745412519,7794.333333333333,68.00245093622239,20,0.0,0,0.0
A2__kimi,A2,kimi,site_04,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1.0,0.0,0.75,0.0,0.75,0.0,317.36966666666666,2.833904432639444,39685,0.0,11455.333333333334,2.309401076758503,23,0.0,0,0.0
A3__gemma,A3,gemma,site_01,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1886.1733333333334,37.84088462672784,793973.6666666666,14223.866785559168,157258,4011.2076735068204,21,0.0,21,0.0
A3__gemma,A3,gemma,site_02,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1795.3586666666667,103.1987804789056,766270.3333333334,28092.70939822881,149235,8249.757996450562,21,0.0,21,0.0
A3__gemma,A3,gemma,site_03,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1707.758,1.5104525811822596,553796,0.0,146808,0.0,21,0.0,21,0.0
A3__gemma,A3,gemma,site_04,3,0.18181818181818182,0.0,0.18181818181818182,0.0,0.1,0.0,0.1,0.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.75,0.0,0.075,0.0,2076.5460000000003,48.0700793841659,764833,5949.594523999093,173143.33333333334,4975.604619876195,21,0.0,21,0.0
A3__qwen,A3,qwen,site_01,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,212.35133333333334,22.561462991865874,458552,1894.8635834803517,11621,1467.047034010839,38,1.7320508075688772,38,1.7320508075688772
A3__qwen,A3,qwen,site_02,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,355.50333333333333,67.08740294819388,427815.6666666667,17809.39432808801,23882.333333333332,5025.362905635107,18,0.0,18,0.0
A3__qwen,A3,qwen,site_03,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,263.917,3.2849248088806986,223109.66666666666,517.8419964944262,17367.333333333332,388.232318764594,27,0.0,27,0.0
A3__qwen,A3,qwen,site_04,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,188.28166666666667,0.9922299800617403,411838,0.0,9914,0.0,23,0.0,23,0.0
A3__kimi,A3,kimi,site_01,3,0.8182914132281222,0.21100172601190056,0.8201058201058201,0.22241110642310793,0.7333333333333334,0.30550504633038933,0.7000000000000001,0.2645751311064591,0.6666666666666666,0.5773502691896257,0,0.0,1.0,0.0,1.0,0.0,0.9916666666666667,0.014433756729740658,0.735042735042735,0.2993893997972136,985.3786666666666,405.71557981587705,390770.3333333333,218783.92455190426,31991.333333333332,12896.652369252004,38.333333333333336,12.897028081435403,38.333333333333336,12.897028081435403
A3__kimi,A3,kimi,site_02,3,0.8706467661691543,0.11202318655918111,0.8823529411764706,0.10188534162169868,0.7999999999999999,0.17320508075688776,0.7333333333333333,0.23094010767585033,0.6666666666666666,0.5773502691896257,0,0.0,1.0,0.0,1.0,0.0,0.9761904761904762,0.020619652471058052,0.7948717948717948,0.177646236673731,979.368,370.67577096298055,409600.6666666667,216848.25363450206,32550.666666666668,12439.946998815281,40.333333333333336,13.613718571108091,40.333333333333336,13.613718571108091
A3__kimi,A3,kimi,site_03,3,0.47734487734487735,0.10237096071004075,0.5192982456140351,0.11594885362707577,0.5,0.09999999999999998,0.5,0.09999999999999998,0,0.0,0,0.0,1.0,0.0,0.9904761904761905,0.016495721976846456,0.49062980030721964,0.1368169574710258,0.4476190476190476,0.10033955955097844,779.795,103.11949470880859,180792,40485.92052800578,23317.333333333332,3215.8846890604354,28.666666666666668,3.7859388972001824,28.666666666666668,3.7859388972001824
A3__kimi,A3,kimi,site_04,3,0.9824561403508772,0.030386856273138165,0.9824561403508772,0.030386856273138165,0.9666666666666667,0.05773502691896256,0.9666666666666667,0.05773502691896256,1,0.0,0.6666666666666666,0.5773502691896257,1.0,0.0,1.0,0.0,0.75,0.0,0.725,0.043301270189221905,838.1906666666666,137.96222831388792,213056.66666666666,62539.36968289122,24880.333333333332,3755.5279699841585,28.333333333333332,4.163331998932265,28.333333333333332,4.163331998932265
